A_New_Hope,  seg_Dur ,     4310,     3856,     3006,     2349,     1748,     1044,      744,      553,      369,      231
        49,    4.000 ,  1977903,  1719018,  1337136,  1004975,   731688,   367129,   241840,   152543,    85295,    50755
        50,    4.000 ,  1840390,  1672661,  1244113,   996707,   717166,   426179,   290932,   195638,   117774,    67941
        51,    4.000 ,  2105685,  1909299,  1424260,  1131339,   834760,   510361,   360603,   265469,   165832,   101820
        52,    4.000 ,  2563366,  2347268,  1811414,  1496739,  1138112,   744855,   559146,   439758,   311350,   204367
        53,    4.000 ,  1659501,  1451966,  1091034,   820780,   697121,   357653,   274708,   183666,   127933,    80162
        54,    4.000 ,  1974843,  1747026,  1302138,   969167,   738882,   415015,   276690,   181835,   124406,    70560
        55,    4.000 ,  2122661,  1894440,  1426235,  1100599,   806913,   482822,   332318,   240869,   161423,    98114
        56,    4.000 ,  2158743,  1918443,  1480920,  1146137,   858011,   506998,   356170,   261356,   165746,   100604
        57,    4.000 ,  3278931,  2989020,  2237230,  1830399,  1267628,   827109,   605191,   483755,   318096,   211201
        58,    4.000 ,  1547470,  1360233,  1151297,   872136,   700887,   384253,   286510,   209415,   140366,    90879
        59,    4.000 ,  1784642,  1603209,  1230472,   953359,   717025,   434472,   294318,   217237,   139327,    86798
        60,    4.000 ,  2167759,  1990145,  1504081,  1199852,   899660,   581384,   418335,   328906,   226753,   141195
        61,    4.000 ,  2012458,  1831318,  1429995,  1119619,   843240,   520556,   368835,   281337,   184803,   111852
        62,    4.000 ,  1958765,  1767272,  1293971,   984634,   723818,   431701,   300510,   221690,   147248,    87978
        63,    4.000 ,  2003377,  1800609,  1406431,  1109053,   790301,   471558,   332557,   246501,   163017,    96968
        64,    4.000 ,  2268043,  2057937,  1626221,  1315160,   986626,   620218,   468051,   362360,   251740,   159218
        65,    4.000 ,  2061818,  1854192,  1437273,  1110896,   835108,   502011,   357817,   270210,   182069,   115936
        66,    4.000 ,  1972199,  1729516,  1367150,  1027435,   819624,   481967,   346496,   261359,   185968,   117111
        67,    4.000 ,  2174216,  1964038,  1573197,  1272580,   925406,   566539,   428212,   320925,   218932,   139875
        68,    4.000 ,  2003062,  1792858,  1440298,  1135777,   860099,   490713,   356524,   259839,   173442,   110890
        69,    4.000 ,  1792886,  1605332,  1299804,   977158,   777125,   436266,   321225,   226987,   154893,    94594
        70,    4.000 ,  1892524,  1696471,  1346586,  1088467,   818894,   474789,   348021,   256034,   179691,   115355
        71,    4.000 ,  2404159,  2165161,  1696557,  1379116,  1021962,   641745,   469358,   360915,   253543,   163494
        72,    4.000 ,  2832399,  2578421,  1959389,  1567429,  1199249,   789316,   570245,   454900,   306193,   199456
        73,    4.000 ,  2629116,  2364749,  1817593,  1443367,  1018814,   655501,   461523,   349407,   239973,   146972
        74,    4.000 ,  2252399,  2016003,  1539100,  1212748,   969301,   609252,   443874,   337369,   232136,   146902
        75,    4.000 ,  2353126,  2123594,  1634467,  1318329,  1027680,   654933,   465115,   362104,   248145,   159826
        76,    4.000 ,  2067236,  1760199,  1459028,  1085824,   759610,   394675,   270886,   185085,   110596,    64914
        77,    4.000 ,  2043550,  1761928,  1425070,  1056602,   737438,   377710,   257649,   165162,    97092,    53119
        78,    4.000 ,  4167177,  3683525,  2765029,  2221847,  1364514,   817189,   540235,   408744,   257433,   161287
        79,    4.000 ,  4348784,  3944622,  2899952,  2282959,  1495904,   897808,   623365,   476792,   317418,   206178
        80,    4.000 ,  3679329,  3280522,  2462928,  1905266,  1395872,   837903,   606801,   468129,   314223,   213193
        81,    4.000 ,  2780056,  2518808,  1957194,  1536748,  1169149,   696030,   495204,   375475,   258876,   169894
        82,    4.000 ,  2539775,  2295688,  1813744,  1408982,  1069808,   626758,   454044,   344363,   231395,   148554
        83,    4.000 ,  2061293,  1778080,  1461265,  1074300,   765678,   377791,   235226,   154752,    87592,    51398
        84,    4.000 ,  1854376,  1645317,  1327690,  1012992,   798654,   461149,   329038,   239536,   159467,   104507
        85,    4.000 ,  2054776,  1868827,  1565023,  1259491,   934447,   577460,   416697,   322124,   212117,   135956
        86,    4.000 ,  1955137,  1751091,  1465644,  1163746,   940419,   597286,   430845,   331248,   234768,   126862
        87,    4.000 ,  1660396,  1467386,  1217265,   930318,   766577,   452175,   318833,   240251,   166337,    97634
        88,    4.000 ,  1051614,   946804,   770551,   598663,   490152,   293815,   207857,   156979,   104413,    62753
        89,    4.000 ,  1167250,  1083304,   918638,   775549,   606288,   413848,   310012,   244724,   168358,   111258
        90,    4.000 ,   860900,   793123,   611646,   511739,   404325,   253043,   187787,   144618,    98329,    67029
        91,    4.000 ,  2150406,  1968733,  1575231,  1313250,   986975,   652619,   496647,   387403,   258394,   163290
